,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
33,33,Southampton,Bournemouth,2,1,2018-04-28 17:00:00,Anthony Taylor,1,5,4,4,Premier League Round 36 2017/2018,1,78,77,78,78,76,75,74,75,1,2018,4,28,36
34,34,Swansea,Chelsea,0,1,2018-04-28 19:30:00,Jonathan Moss,2,10,4,4,Premier League Round 36 2017/2018,-1,75,75,77,76,85,82,85,84,-1,2018,4,28,36
35,35,West Ham,Man City,1,4,2018-04-29 16:15:00,Neil Swarbrick,5,6,4,4,Premier League Round 36 2017/2018,-3,80,78,79,79,84,81,85,83,-1,2018,4,29,36
36,36,Man United,Arsenal,2,1,2018-04-29 18:30:00,Kevin Friend,12,8,1,2,Premier League Round 36 2017/2018,1,86,81,83,83,86,80,82,83,1,2018,4,29,36
37,37,West Ham,Stoke,1,1,2018-04-16 22:00:00,Michael Oliver,4,1,4,4,Premier League Round 34 2017/2018,0,80,78,79,79,78,77,77,77,0,2018,4,16,34
38,38,Brighton,Tottenham,1,1,2018-04-17 21:45:00,Kevin Friend,1,12,5,4,Premier League Round 35 2017/2018,0,74,73,74,74,86,81,82,82,0,2018,4,17,35
39,39,Bournemouth,Man United,0,2,2018-04-18 21:45:00,Graham Scott,5,9,4,4,Premier League Round 35 2017/2018,-2,76,75,74,75,86,81,83,83,-1,2018,4,18,35
40,40,Burnley,Chelsea,1,2,2018-04-19 21:45:00,Robert Madley,15,7,5,5,Premier League Round 31 2017/2018,-1,74,75,75,75,85,82,85,84,-1,2018,4,19,31
41,41,Leicester,Southampton,0,0,2018-04-19 21:45:00,Roger East,6,3,4,4,Premier League Round 35 2017/2018,0,79,76,79,78,78,77,78,78,0,2018,4,19,35
42,42,West Brom,Liverpool,2,2,2018-04-21 14:30:00,Stuart Attwell,4,13,4,4,Premier League Round 35 2017/2018,0,80,76,75,76,83,80,82,82,0,2018,4,21,35
43,43,Watford,Crystal Palace,0,0,2018-04-21 17:00:00,Chris Kavanagh,1,7,6,5,Premier League Round 35 2017/2018,0,77,76,76,77,81,75,76,76,0,2018,4,21,35
44,44,Arsenal,West Ham,4,1,2018-04-22 15:30:00,Lee Mason,10,5,6,5,Premier League Round 35 2017/2018,3,86,80,82,83,80,78,79,79,1,2018,4,22,35
45,45,Stoke,Burnley,1,1,2018-04-22 15:30:00,Mike Dean,1,12,4,5,Premier League Round 35 2017/2018,0,78,77,77,77,74,75,75,75,0,2018,4,22,35
46,46,Man City,Swansea,5,0,2018-04-22 18:30:00,Craig Pawson,6,3,4,4,Premier League Round 35 2017/2018,5,84,81,85,83,75,75,77,76,1,2018,4,22,35
47,47,Arsenal,Southampton,3,2,2018-04-08 16:15:00,Andre Marriner,15,5,4,5,Premier League Round 33 2017/2018,1,86,80,82,83,78,77,78,78,1,2018,4,8,33
48,48,Chelsea,West Ham,1,1,2018-04-08 18:30:00,Kevin Friend,6,6,5,4,Premier League Round 33 2017/2018,0,85,82,85,84,80,78,79,79,0,2018,4,8,33
49,49,Southampton,Chelsea,2,3,2018-04-14 14:30:00,Mike Dean,4,7,4,4,Premier League Round 34 2017/2018,-1,78,77,78,78,85,82,85,84,-1,2018,4,14,34
50,50,Burnley,Leicester,2,1,2018-04-14 17:00:00,Martin Atkinson,13,7,5,4,Premier League Round 34 2017/2018,1,74,75,75,75,79,76,79,78,1,2018,4,14,34
51,51,Crystal Palace,Brighton,3,2,2018-04-14 17:00:00,Andre Marriner,4,4,5,2,Premier League Round 34 2017/2018,1,81,75,76,76,74,73,74,74,1,2018,4,14,34
