,Unnamed: 0,HomeTeam,AwayTeam,HomeScore,AwayScore,Time,Ref,HomeForm,AwayForm,HomeMissingPlayers,AwayMissingPlayers,Round,GD,HomeAtt,HomeDef,HomeMid,HomeOVR,AwayAtt,AwayDef,AwayMid,AwayOVR,y,Year,Month,Day,Round_Number
599,599,Man City,Leeds,7,0,2021-12-14 22:00:00,Paul Tierney,12,5,6,6,Premier League Round 17 2021/2022,7,84,86,87,85,78,76,78,77,1,2021,12,14,17
600,600,Brighton,Wolves,0,1,2021-12-15 21:30:00,Tony Harrington,4,5,6,5,Premier League Round 17 2021/2022,-1,75,75,77,76,78,77,81,78,-1,2021,12,15,17
601,601,Crystal Palace,Southampton,2,2,2021-12-15 21:30:00,Simon Hooper,4,2,6,6,Premier League Round 17 2021/2022,0,77,74,76,76,76,73,77,76,0,2021,12,15,17
602,602,Arsenal,West Ham,2,0,2021-12-15 22:00:00,Anthony Taylor,6,5,6,7,Premier League Round 17 2021/2022,2,83,77,81,79,79,79,79,79,1,2021,12,15,17
603,603,Chelsea,Everton,1,1,2021-12-16 21:45:00,Michael Oliver,8,3,5,4,Premier League Round 17 2021/2022,0,84,81,86,83,79,79,78,79,0,2021,12,16,17
604,604,Liverpool,Newcastle,3,1,2021-12-16 22:00:00,Mike Dean,15,5,6,6,Premier League Round 17 2021/2022,2,86,85,83,84,79,74,75,76,1,2021,12,16,17
605,605,Leeds,Brentford,2,2,2021-12-05 16:00:00,David Coote,8,4,6,6,Premier League Round 15 2021/2022,0,78,76,78,77,73,73,74,73,0,2021,12,5,15
606,606,Man United,Crystal Palace,1,0,2021-12-05 16:00:00,Craig Pawson,7,7,6,6,Premier League Round 15 2021/2022,1,85,83,84,84,77,74,76,76,1,2021,12,5,15
607,607,Tottenham,Norwich,3,0,2021-12-05 16:00:00,Jarred Gillett,10,8,6,6,Premier League Round 15 2021/2022,3,86,80,80,82,76,74,74,74,1,2021,12,5,15
608,608,Aston Villa,Leicester,2,1,2021-12-05 18:30:00,Michael Oliver,6,8,6,6,Premier League Round 15 2021/2022,1,78,77,76,78,82,79,81,80,1,2021,12,5,15
609,609,Everton,Arsenal,2,1,2021-12-06 22:00:00,Mike Dean,1,9,6,6,Premier League Round 15 2021/2022,1,79,79,78,79,83,77,81,79,1,2021,12,6,15
610,610,Brentford,Watford,2,1,2021-12-10 22:00:00,Michael Oliver,5,3,6,6,Premier League Round 16 2021/2022,1,73,73,74,73,74,73,75,75,1,2021,12,10,16
611,611,Man City,Wolves,1,0,2021-12-11 14:30:00,Jonathan Moss,12,5,7,6,Premier League Round 16 2021/2022,1,84,86,87,85,78,77,81,78,1,2021,12,11,16
612,612,Arsenal,Southampton,3,0,2021-12-11 17:00:00,Jarred Gillett,6,5,6,7,Premier League Round 16 2021/2022,3,83,77,81,79,76,73,77,76,1,2021,12,11,16
613,613,Chelsea,Leeds,3,2,2021-12-11 17:00:00,Chris Kavanagh,8,6,6,6,Premier League Round 16 2021/2022,1,84,81,86,83,78,76,78,77,1,2021,12,11,16
614,614,Liverpool,Aston Villa,1,0,2021-12-11 17:00:00,Stuart Attwell,15,9,6,6,Premier League Round 16 2021/2022,1,86,85,83,84,78,77,76,78,1,2021,12,11,16
615,615,Norwich,Man United,0,1,2021-12-11 19:30:00,Darren England,8,11,6,6,Premier League Round 16 2021/2022,-1,76,74,74,74,85,83,84,84,-1,2021,12,11,16
